parsing script file: rand_large_180.job
28350 -1 1024 524288 1
6313 -1 1024 524288 1
1776 -1 1024 524288 1
17074 -1 1024 524288 1
4639 -1 1024 524288 1
21520 -1 1024 524288 1
15643 -1 1024 524288 1
16993 -1 1024 524288 1
9278 -1 1024 524288 1
8655 -1 1024 524288 1
21641 -1 1024 524288 1
1558 -1 1024 524288 1
7913 -1 1024 524288 1
18862 -1 1024 524288 1
22643 -1 1024 524288 1
20697 -1 1024 524288 1
10402 -1 1024 524288 1
8660 -1 1024 524288 1
20002 -1 1024 524288 1
8975 -1 1024 524288 1
5011 -1 1024 524288 1
9403 -1 1024 524288 1
277 -1 1024 524288 1
10975 -1 1024 524288 1
19587 -1 1024 524288 1
22889 -1 1024 524288 1
9570 -1 1024 524288 1
6247 -1 1024 524288 1
1192 -1 1024 524288 1
26115 -1 1024 524288 1
656 -1 1024 524288 1
10947 -1 1024 524288 1
6751 -1 1024 524288 1
24010 -1 1024 524288 1
10409 -1 1024 524288 1
19234 -1 1024 524288 1
21904 -1 1024 524288 1
7698 -1 1024 524288 1
19780 -1 1024 524288 1
27884 -1 1024 524288 1
26430 -1 1024 524288 1
16151 -1 1024 524288 1
23787 -1 1024 524288 1
8649 -1 1024 524288 1
4763 -1 1024 524288 1
21022 -1 1024 524288 1
6480 -1 1024 524288 1
26872 -1 1024 524288 1
8547 -1 1024 524288 1
4367 -1 1024 524288 1
12664 -1 1024 524288 1
9831 -1 1024 524288 1
15381 -1 1024 524288 1
27839 -1 1024 524288 1
27687 -1 1024 524288 1
862 -1 1024 524288 1
2248 -1 1024 524288 1
12077 -1 1024 524288 1
7253 -1 1024 524288 1
17450 -1 1024 524288 1
7413 -1 1024 524288 1
13708 -1 1024 524288 1
16125 -1 1024 524288 1
6144 -1 1024 524288 1
25240 -1 1024 524288 1
14894 -1 1024 524288 1
90 -1 1024 524288 1
4159 -1 1024 524288 1
26035 -1 1024 524288 1
6585 -1 1024 524288 1
22985 -1 1024 524288 1
15865 -1 1024 524288 1
27627 -1 1024 524288 1
4818 -1 1024 524288 1
4376 -1 1024 524288 1
2818 -1 1024 524288 1
22692 -1 1024 524288 1
26577 -1 1024 524288 1
14928 -1 1024 524288 1
25968 -1 1024 524288 1
8347 -1 1024 524288 1
script file rand_large_180.job has 180 lines
total num_run=5
Device /dev/sdb: ATA ST8000AS0022-1WL ZN03 
    ATA ZAC interface, Host-aware disk model
    15628053168 logical blocks of 512 B
    1953506646 physical blocks of 4096 B
    8001.563 GB capacity
------processing script (1/5)------
Target zone: Zone 21996 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 11532238848, 524288 sectors, wp 11532238848
Writing 1024 blks to zone 21996 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 11532238848, 524288 sectors, wp 11532238848

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 442
  BW 231.883 MB/s
Target zone: Zone 4056 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 2126512128, 524288 sectors, wp 2126512128
Writing 1024 blks to zone 4056 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 2126512128, 524288 sectors, wp 2126512128

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 449
  BW 235.635 MB/s
Target zone: Zone 24940 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 13075742720, 524288 sectors, wp 13075742720
Writing 1024 blks to zone 24940 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 13075742720, 524288 sectors, wp 13075742720

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 453
  BW 237.988 MB/s
Target zone: Zone 8583 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 4499963904, 524288 sectors, wp 4499963904
Writing 1024 blks to zone 8583 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 4499963904, 524288 sectors, wp 4499963904

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 443
  BW 232.603 MB/s
Target zone: Zone 25293 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 13260816384, 524288 sectors, wp 13260816384
Writing 1024 blks to zone 25293 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 13260816384, 524288 sectors, wp 13260816384

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 454
  BW 238.312 MB/s
Target zone: Zone 127 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 66584576, 524288 sectors, wp 66584576
Writing 1024 blks to zone 127 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 66584576, 524288 sectors, wp 66584576

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 452
  BW 237.341 MB/s
Target zone: Zone 21558 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 11302600704, 524288 sectors, wp 11302600704
Writing 1024 blks to zone 21558 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 11302600704, 524288 sectors, wp 11302600704

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 456
  BW 239.182 MB/s
Target zone: Zone 17784 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 9323937792, 524288 sectors, wp 9323937792
Writing 1024 blks to zone 17784 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 9323937792, 524288 sectors, wp 9323937792

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 454
  BW 238.529 MB/s
Target zone: Zone 11416 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 5985271808, 524288 sectors, wp 5985271808
Writing 1024 blks to zone 11416 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 5985271808, 524288 sectors, wp 5985271808

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 457
  BW 239.729 MB/s
Target zone: Zone 3621 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 1898446848, 524288 sectors, wp 1898446848
Writing 1024 blks to zone 3621 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 1898446848, 524288 sectors, wp 1898446848

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 443
  BW 232.603 MB/s
Target zone: Zone 13667 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 7165444096, 524288 sectors, wp 7165444096
Writing 1024 blks to zone 13667 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 7165444096, 524288 sectors, wp 7165444096

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 453
  BW 237.556 MB/s
Target zone: Zone 9861 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 5170003968, 524288 sectors, wp 5170003968
Writing 1024 blks to zone 9861 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 5170003968, 524288 sectors, wp 5170003968

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 455
  BW 238.746 MB/s
Target zone: Zone 12381 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 6491209728, 524288 sectors, wp 6491209728
Writing 1024 blks to zone 12381 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 6491209728, 524288 sectors, wp 6491209728

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 455
  BW 238.855 MB/s
Target zone: Zone 5684 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 2980052992, 524288 sectors, wp 2980052992
Writing 1024 blks to zone 5684 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 2980052992, 524288 sectors, wp 2980052992

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 454
  BW 238.204 MB/s
Target zone: Zone 18572 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 9737076736, 524288 sectors, wp 9737076736
Writing 1024 blks to zone 18572 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 9737076736, 524288 sectors, wp 9737076736

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 452
  BW 237.341 MB/s
Target zone: Zone 20586 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 10792992768, 524288 sectors, wp 10792992768
Writing 1024 blks to zone 20586 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 10792992768, 524288 sectors, wp 10792992768

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 444
  BW 232.913 MB/s
Target zone: Zone 5579 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 2925002752, 524288 sectors, wp 2925002752
Writing 1024 blks to zone 5579 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 2925002752, 524288 sectors, wp 2925002752

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 454
  BW 238.204 MB/s
Target zone: Zone 29201 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 15309733888, 524288 sectors, wp 15309733888
Writing 1024 blks to zone 29201 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 15309733888, 524288 sectors, wp 15309733888

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 452
  BW 237.234 MB/s
Target zone: Zone 6081 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 3188195328, 524288 sectors, wp 3188195328
Writing 1024 blks to zone 6081 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 3188195328, 524288 sectors, wp 3188195328

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 456
  BW 239.291 MB/s
Target zone: Zone 15332 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 8038383616, 524288 sectors, wp 8038383616
Writing 1024 blks to zone 15332 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 8038383616, 524288 sectors, wp 8038383616

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 456
  BW 239.182 MB/s
Target zone: Zone 2355 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 1234698240, 524288 sectors, wp 1234698240
Writing 1024 blks to zone 2355 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 1234698240, 524288 sectors, wp 1234698240

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 456
  BW 239.400 MB/s
Target zone: Zone 12682 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 6649020416, 524288 sectors, wp 6649020416
Writing 1024 blks to zone 12682 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 6649020416, 524288 sectors, wp 6649020416

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 447
  BW 234.790 MB/s
Target zone: Zone 17496 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 9172942848, 524288 sectors, wp 9172942848
Writing 1024 blks to zone 17496 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 9172942848, 524288 sectors, wp 9172942848

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 455
  BW 238.964 MB/s
Target zone: Zone 17245 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 9041346560, 524288 sectors, wp 9041346560
Writing 1024 blks to zone 17245 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 9041346560, 524288 sectors, wp 9041346560

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 415
  BW 218.089 MB/s
Target zone: Zone 26578 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 13934526464, 524288 sectors, wp 13934526464
Writing 1024 blks to zone 26578 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 13934526464, 524288 sectors, wp 13934526464

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 455
  BW 238.638 MB/s
Target zone: Zone 8982 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 4709154816, 524288 sectors, wp 4709154816
Writing 1024 blks to zone 8982 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 4709154816, 524288 sectors, wp 4709154816

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 456
  BW 239.182 MB/s
Target zone: Zone 22564 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 11830034432, 524288 sectors, wp 11830034432
Writing 1024 blks to zone 22564 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 11830034432, 524288 sectors, wp 11830034432

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 455
  BW 238.746 MB/s
Target zone: Zone 25736 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 13493075968, 524288 sectors, wp 13493075968
Writing 1024 blks to zone 25736 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 13493075968, 524288 sectors, wp 13493075968

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 444
  BW 232.809 MB/s
Target zone: Zone 18011 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 9442951168, 524288 sectors, wp 9442951168
Writing 1024 blks to zone 18011 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 9442951168, 524288 sectors, wp 9442951168

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 453
  BW 237.988 MB/s
Target zone: Zone 2920 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 1530920960, 524288 sectors, wp 1530920960
Writing 1024 blks to zone 2920 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 1530920960, 524288 sectors, wp 1530920960

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 454
  BW 238.421 MB/s
Target zone: Zone 26399 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 13840678912, 524288 sectors, wp 13840678912
Writing 1024 blks to zone 26399 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 13840678912, 524288 sectors, wp 13840678912

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 456
  BW 239.510 MB/s
Target zone: Zone 26243 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 13758889984, 524288 sectors, wp 13758889984
Writing 1024 blks to zone 26243 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 13758889984, 524288 sectors, wp 13758889984

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 457
  BW 239.619 MB/s
Target zone: Zone 16577 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 8691122176, 524288 sectors, wp 8691122176
Writing 1024 blks to zone 16577 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 8691122176, 524288 sectors, wp 8691122176

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 355
  BW 186.512 MB/s
Target zone: Zone 13580 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 7119831040, 524288 sectors, wp 7119831040
Writing 1024 blks to zone 13580 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 7119831040, 524288 sectors, wp 7119831040

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 443
  BW 232.294 MB/s
Target zone: Zone 2934 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 1538260992, 524288 sectors, wp 1538260992
Writing 1024 blks to zone 2934 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 1538260992, 524288 sectors, wp 1538260992

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 452
  BW 237.127 MB/s
Target zone: Zone 14521 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 7613186048, 524288 sectors, wp 7613186048
Writing 1024 blks to zone 14521 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 7613186048, 524288 sectors, wp 7613186048

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 455
  BW 238.964 MB/s
Target zone: Zone 6793 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 3561488384, 524288 sectors, wp 3561488384
Writing 1024 blks to zone 6793 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 3561488384, 524288 sectors, wp 3561488384

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 456
  BW 239.182 MB/s
Target zone: Zone 25027 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 13121355776, 524288 sectors, wp 13121355776
Writing 1024 blks to zone 25027 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 13121355776, 524288 sectors, wp 13121355776

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 453
  BW 237.880 MB/s
Target zone: Zone 19064 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 9995026432, 524288 sectors, wp 9995026432
Writing 1024 blks to zone 19064 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 9995026432, 524288 sectors, wp 9995026432

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 454
  BW 238.421 MB/s
Target zone: Zone 3068 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 1608515584, 524288 sectors, wp 1608515584
Writing 1024 blks to zone 3068 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 1608515584, 524288 sectors, wp 1608515584

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 446
  BW 233.952 MB/s
Target zone: Zone 26509 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 13898350592, 524288 sectors, wp 13898350592
Writing 1024 blks to zone 26509 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 13898350592, 524288 sectors, wp 13898350592

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 452
  BW 237.019 MB/s
Target zone: Zone 27324 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 14325645312, 524288 sectors, wp 14325645312
Writing 1024 blks to zone 27324 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 14325645312, 524288 sectors, wp 14325645312

Wrote 524288 B (1 I/Os) in 0.003 sec
  IOPS 330
  BW 173.375 MB/s
Target zone: Zone 24493 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 12841385984, 524288 sectors, wp 12841385984
Writing 1024 blks to zone 24493 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 12841385984, 524288 sectors, wp 12841385984

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 454
  BW 238.421 MB/s
Target zone: Zone 11271 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 5909250048, 524288 sectors, wp 5909250048
Writing 1024 blks to zone 11271 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 5909250048, 524288 sectors, wp 5909250048

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 452
  BW 237.449 MB/s
Target zone: Zone 6312 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 3309305856, 524288 sectors, wp 3309305856
Writing 1024 blks to zone 6312 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 3309305856, 524288 sectors, wp 3309305856

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 453
  BW 237.664 MB/s
Target zone: Zone 29290 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 15356395520, 524288 sectors, wp 15356395520
Writing 1024 blks to zone 29290 from lba_offset=0 iosize=524288, (1/1)
zone type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 15356395520, 524288 sectors, wp 15356395520

Wrote 524288 B (1 I/Os) in 0.002 sec
  IOPS 446
  BW 234.161 MB/s
Target zone: Zone 16642 / 29809, type 0x3 (Sequential-write-preferred), cond 0x1 (Empty), need_reset 0, non_seq 0, LBA 8725200896, 524288 sectors, wp 8725200896
Writing 1024 blks to zone 16642 from lba_offset=0 iosize=524288, (1/1)
